StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,ALP,Labor,1560996,37.85,49776,35.42,2236,37.6,52461,37.46,186772,37.61,1852241,37.74
NSW,LPNP,Liberal & Nationals,1204300,29.2,31457,22.39,1342,22.57,37727,26.94,172683,34.77,1447509,29.5
NSW,GRN,The Greens,466763,11.32,21416,15.24,915,15.39,19111,13.64,42014,8.46,550219,11.21
NSW,HMP,Legalise Cannabis Party,144147,3.49,8792,6.26,287,4.83,5069,3.62,10239,2.06,168534,3.43
NSW,CYA,Trumpet of Patriots,99571,2.41,4223,3.01,158,2.66,3430,2.45,9768,1.97,117150,2.39
NSW,AJP,Animal Justice Party,47699,1.16,2069,1.47,98,1.65,1750,1.25,7114,1.43,58730,1.2
NSW,AV,Australia's Voice,30182,0.73,1487,1.06,63,1.06,1123,0.8,2738,0.55,35593,0.73
NSW,AUC,Australian Christians,48293,1.17,2228,1.59,93,1.56,1628,1.16,5580,1.12,57822,1.18
NSW,CEC,Citizens Party,8845,0.21,315,0.22,11,0.18,294,0.21,941,0.19,10406,0.21
NSW,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,13409,0.33,610,0.43,29,0.49,525,0.37,1669,0.34,16242,0.33
NSW,FFPA,Family First,67826,1.64,2827,2.01,115,1.93,2116,1.51,5534,1.11,78418,1.6
NSW,IAP,Indigenous - Aboriginal Party of Australia,26544,0.64,1616,1.15,59,0.99,1073,0.77,1999,0.4,31291,0.64
NSW,JLN,Jacqui Lambie Network,41211,1,852,0.61,56,0.94,1431,1.02,8128,1.64,51678,1.05
NSW,PFHL,Libertarian / HEART / Gerard Rennick People First,77947,1.89,2793,1.99,115,1.93,2558,1.83,7644,1.54,91057,1.86
NSW,ON,Pauline Hanson's One Nation,249683,6.05,8599,6.12,310,5.21,8446,6.03,29300,5.9,296338,6.04
NSW,SAL,Socialist Alliance,10336,0.25,448,0.32,15,0.25,451,0.32,1071,0.22,12321,0.25
NSW,SPP,Sustainable Australia Party - Universal Basic Income,13122,0.32,570,0.41,18,0.3,514,0.37,1679,0.34,15903,0.32
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,13518,0.33,444,0.32,27,0.45,355,0.25,1700,0.34,16044,0.33
VIC,ALP,Australian Labor Party,1077123,34.87,44670,31.98,1780,36.14,45510,32.37,238262,35.18,1407345,34.73
VIC,LPNP,Liberal/The Nationals,956493,30.96,34741,24.88,1204,24.45,42127,29.96,242860,35.85,1277425,31.53
VIC,GRN,The Greens,394982,12.79,24313,17.41,755,15.33,21378,15.2,62161,9.18,503589,12.43
VIC,AV,Australia's Voice,31124,1.01,1750,1.25,71,1.44,1058,0.75,5115,0.76,39118,0.97
VIC,HMP,Legalise Cannabis Party,113681,3.68,8133,5.82,220,4.47,5327,3.79,18322,2.7,145683,3.6
VIC,LTP,Libertarian,18707,0.61,908,0.65,45,0.91,905,0.64,2692,0.4,23257,0.57
VIC,CYA,Trumpet of Patriots,76287,2.47,4250,3.04,114,2.31,3806,2.71,17675,2.61,102132,2.52
