StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
VIC,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,7638,0.25,548,0.38,21,0.4,431,0.29,1970,0.28,10608,0.26
VIC,FFPA,Family First,57497,1.85,2839,1.95,122,2.31,2380,1.62,11714,1.69,74552,1.82
VIC,GRHE,Gerard Rennick People First - Heart,33192,1.07,1736,1.19,61,1.15,1796,1.22,7133,1.03,43918,1.07
VIC,IAP,Indigenous - Aboriginal Party of Australia,20335,0.65,1384,0.95,48,0.91,1183,0.81,3550,0.51,26500,0.65
VIC,ON,Pauline Hanson's One Nation,135702,4.37,6186,4.24,212,4.01,6963,4.75,32942,4.75,182005,4.44
VIC,ASP,"Shooters, Fishers and Farmers Party",37486,1.21,2223,1.52,62,1.17,2502,1.71,8622,1.24,50895,1.24
VIC,SPP,Sustainable Australia Party - Universal Basic Income,7724,0.25,466,0.32,13,0.25,429,0.29,2103,0.3,10735,0.26
VIC,VNS,Victorian Socialists,50678,1.63,3269,2.24,135,2.55,2335,1.59,6449,0.93,62866,1.53
VIC,UNAM,Unendorsed/Ungrouped Amalgamated,7174,0.23,402,0.28,17,0.32,350,0.24,2074,0.3,10017,0.24
QLD,ALP,Australian Labor Party,757819,30.76,28511,28.03,4254,27.99,34443,28.3,154508,30.44,979535,30.52
QLD,LNP,LNP,746403,30.3,22918,22.53,2868,18.87,34682,28.5,188403,37.12,995274,31.01
QLD,ON,Pauline Hanson's One Nation,173099,7.03,7271,7.15,1176,7.74,10022,8.23,36784,7.25,228352,7.11
QLD,GRN,The Greens,260418,10.57,15138,14.88,2084,13.71,15408,12.66,42039,8.28,335087,10.44
QLD,AV,Australia's Voice,18942,0.77,1134,1.11,223,1.47,1057,0.87,2360,0.46,23716,0.74
QLD,CYA,Trumpet of Patriots,91661,3.72,4946,4.86,842,5.54,5027,4.13,14516,2.86,116992,3.65
QLD,AJP,Animal Justice Party,22831,0.93,1392,1.37,211,1.39,1248,1.03,6107,1.2,31789,0.99
QLD,AUD,Australian Democrats,10904,0.44,438,0.43,60,0.39,537,0.44,2142,0.42,14081,0.44
QLD,CEC,Citizens Party,4938,0.2,243,0.24,36,0.24,263,0.22,732,0.14,6212,0.19
QLD,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,7177,0.29,427,0.42,80,0.53,473,0.39,1444,0.28,9601,0.3
QLD,FFPA,Family First,45445,1.84,2374,2.33,407,2.68,2136,1.76,7281,1.43,57643,1.8
QLD,GRKA,Gerard Rennick People First|Katter's Australian Party,122559,4.97,4556,4.48,656,4.32,5140,4.22,17102,3.37,150013,4.67
QLD,GAHE,Great Australian Party & HEART Party,4640,0.19,302,0.3,46,0.3,244,0.2,784,0.15,6016,0.19
QLD,IAP,Indigenous - Aboriginal Party of Australia,33998,1.38,2284,2.25,473,3.11,1889,1.55,3286,0.65,41930,1.31
QLD,JLN,Jacqui Lambie Network,38459,1.56,1256,1.23,169,1.11,2409,1.98,12097,2.38,54390,1.69
QLD,HMP,Legalise Cannabis Party,87896,3.57,6453,6.34,1212,7.98,4558,3.75,12348,2.43,112467,3.5
QLD,LTP,Libertarian,11296,0.46,686,0.67,112,0.74,887,0.73,1596,0.31,14577,0.45
QLD,SAL,Socialist Alliance,16896,0.69,1011,0.99,228,1.5,880,0.72,1912,0.38,20927,0.65
QLD,SPP,Sustainable Australia Party - Universal Basic Income,5769,0.23,304,0.3,56,0.37,324,0.27,1398,0.28,7851,0.24
QLD,UNAM,Unendorsed/Ungrouped Amalgamated,2350,0.1,61,0.06,3,0.02,74,0.06,688,0.14,3176,0.1
WA,ALP,Australian Labor Party,472105,36.57,21629,29.81,727,32.48,21096,33.14,70057,37.01,585614,36.18
WA,LP,Liberal,341530,26.45,15063,20.76,465,20.78,16724,26.27,56786,30,430568,26.6
WA,NP,The Nationals,44814,3.47,2264,3.12,45,2.01,2443,3.84,8334,4.4,57900,3.58
WA,GRN,The Greens (WA),165917,12.85,13343,18.39,377,16.85,9440,14.83,18973,10.02,208050,12.85
WA,CYA,Trumpet of Patriots,21622,1.67,1600,2.21,46,2.06,1207,1.9,2622,1.39,27097,1.67
WA,AJP,Animal Justice Party,13397,1.04,1063,1.47,38,1.7,682,1.07,2785,1.47,17965,1.11
WA,AV,Australia's Voice,9118,0.71,721,0.99,32,1.43,346,0.54,909,0.48,11126,0.69
WA,AUC,Australian Christians,35346,2.74,2197,3.03,79,3.53,1533,2.41,4096,2.16,43251,2.67
WA,AUD,Australian Democrats,5172,0.4,263,0.36,11,0.49,254,0.4,778,0.41,6478,0.4
WA,CEC,Citizens Party,3811,0.3,288,0.4,6,0.27,180,0.28,458,0.24,4743,0.29
WA,SOPA,FUSION,2718,0.21,205,0.28,6,0.27,161,0.25,516,0.27,3606,0.22
WA,GRPF,Gerard Rennick People First,19099,1.48,1254,1.73,50,2.23,1015,1.59,2562,1.35,23980,1.48
WA,HMP,Legalise Cannabis Party,51765,4.01,5313,7.32,130,5.81,2650,4.16,5444,2.88,65302,4.03
WA,LTP,Libertarian,8316,0.64,618,0.85,15,0.67,430,0.68,862,0.46,10241,0.63
WA,ON,One Nation,74330,5.76,4912,6.77,135,6.03,4313,6.78,11391,6.02,95081,5.87
WA,SAL,Socialist Alliance,3172,0.25,217,0.3,15,0.67,169,0.27,393,0.21,3966,0.25
WA,SPP,Sustainable Australia Party,5441,0.42,437,0.6,16,0.71,286,0.45,944,0.5,7124,0.44
WA,GAP,GAP,12193,0.94,1090,1.5,40,1.79,676,1.06,1169,0.62,15168,0.94
WA,UNAM,Unendorsed/Ungrouped Amalgamated,1131,0.09,75,0.1,5,0.22,48,0.08,222,0.12,1481,0.09
SA,ALP,Australian Labor Party,353154,38.24,15284,34.47,3174,35.52,12043,34.68,59340,38.88,442995,38.06
SA,LP,Liberal,251895,27.28,9730,21.94,1724,19.29,9461,27.24,48122,31.53,320932,27.57
SA,NP,National Party,4512,0.49,183,0.41,46,0.51,237,0.68,717,0.47,5695,0.49
SA,GRN,The Greens,120952,13.1,8084,18.23,1533,17.15,5172,14.89,14407,9.44,150148,12.9
SA,CYA,Trumpet of Patriots,26092,2.83,1671,3.77,327,3.66,1089,3.14,3915,2.56,33094,2.84
SA,AJP,Animal Justice Party,11939,1.29,818,1.84,167,1.87,468,1.35,2426,1.59,15818,1.36
SA,AV,Australia's Voice,6735,0.73,397,0.9,116,1.3,255,0.73,538,0.35,8041,0.69
SA,CEC,Citizens Party,1259,0.14,77,0.17,20,0.22,44,0.13,170,0.11,1570,0.13
SA,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,4372,0.47,252,0.57,66,0.74,185,0.53,567,0.37,5442,0.47
SA,FFPA,Family First,18992,2.06,1079,2.43,223,2.5,711,2.05,2549,1.67,23554,2.02
SA,GRPF,Gerard Rennick People First,10673,1.16,627,1.41,130,1.45,506,1.46,1526,1,13462,1.16
SA,JLN,Jacqui Lambie Network,24478,2.65,707,1.59,141,1.58,788,2.27,5402,3.54,31516,2.71
SA,HMP,Legalise Cannabis Party,26586,2.88,2073,4.67,511,5.72,1138,3.28,2984,1.95,33292,2.86
SA,LTP,Libertarian,9891,1.07,614,1.38,175,1.96,360,1.04,777,0.51,11817,1.02
SA,ON,Pauline Hanson's One Nation,48439,5.25,2518,5.68,546,6.11,2101,6.05,8527,5.59,62131,5.34
SA,SPP,Sustainable Australia Party - Universal Basic Income,2457,0.27,174,0.39,30,0.34,119,0.34,496,0.32,3276,0.28
SA,UNAM,Unendorsed/Ungrouped Amalgamated,993,0.11,56,0.13,8,0.09,54,0.16,178,0.12,1289,0.11
TAS,ALP,Australian Labor Party,107815,35.44,3534,30.49,477,30.93,3127,30.85,15913,36.22,130866,35.23
TAS,LP,Liberal,70683,23.23,2285,19.71,277,17.96,2352,23.2,11843,26.95,87440,23.54
TAS,JLN,Jacqui Lambie Network,21626,7.11,719,6.2,103,6.68,736,7.26,3832,8.72,27016,7.27
TAS,GRN,The Greens,50521,16.61,2379,20.52,255,16.54,2249,22.19,5187,11.81,60591,16.31
TAS,CYA,Trumpet of Patriots,9951,3.27,441,3.8,72,4.67,289,2.85,1281,2.92,12034,3.24
TAS,AJP,Animal Justice Party,3799,1.25,200,1.73,42,2.72,137,1.35,673,1.53,4851,1.31
TAS,CEC,Citizens Party,966,0.32,39,0.34,8,0.52,41,0.4,160,0.36,1214,0.33
TAS,HMP,Legalise Cannabis Party,10563,3.47,669,5.77,119,7.72,303,2.99,964,2.19,12618,3.4
TAS,LTP,Libertarian,1340,0.44,45,0.39,13,0.84,48,0.47,191,0.43,1637,0.44
TAS,ON,Pauline Hanson's One Nation,15845,5.21,582,5.02,82,5.32,477,4.71,2205,5.02,19191,5.17
TAS,ASP,"Shooters, Fishers and Farmers Party",6727,2.21,425,3.67,53,3.44,210,2.07,1022,2.33,8437,2.27
TAS,SPP,Sustainable Australia Party - Universal Basic Income,3576,1.18,235,2.03,39,2.53,144,1.42,481,1.09,4475,1.2
TAS,UNAM,Unendorsed/Ungrouped Amalgamated,828,0.27,38,0.33,2,0.13,23,0.23,185,0.42,1076,0.29
ACT,ALP,Australian Labor Party,80160,31.8,1554,29.18,475,30.66,4054,32.41,6741,31.23,92984,31.73
ACT,LP,Liberal,43727,17.35,859,16.13,236,15.24,2318,18.53,4861,22.52,52001,17.75
ACT,DAVI,David Pocock,100202,39.75,2023,37.98,583,37.64,4384,35.05,7577,35.1,114769,39.17
ACT,AJP,Animal Justice Party,2756,1.09,87,1.63,22,1.42,131,1.05,365,1.69,3361,1.15
ACT,HETP,HEART/LIBERTARIAN,2897,1.15,83,1.56,19,1.23,163,1.3,277,1.28,3439,1.17
ACT,SPP,Sustainable Australia Party - Universal Basic Income,2985,1.18,100,1.88,35,2.26,193,1.54,324,1.5,3637,1.24
ACT,GRN,Australian Greens,19331,7.67,620,11.64,179,11.56,1265,10.11,1441,6.68,22836,7.79
ACT,UNAM,Unendorsed/Ungrouped Amalgamated,0,0,0,0,0,0,0,0,0,0,0,0
NT,ALP,Australian Labor Party (Northern Territory) Branch,33024,35.54,635,33.58,129,31.08,2127,32.33,1436,28.73,37351,34.97
NT,CLP,NT CLP,30359,32.67,469,24.8,117,28.19,1929,29.32,2080,41.62,34954,32.73
NT,CEC,Citizens Party,949,1.02,33,1.75,5,1.2,89,1.35,57,1.14,1133,1.06
NT,HMP,Legalise Cannabis Party,4980,5.36,170,8.99,36,8.67,328,4.99,187,3.74,5701,5.34
NT,LTP,Libertarian,1244,1.34,35,1.85,5,1.2,139,2.11,70,1.4,1493,1.4
NT,ON,Pauline Hanson's One Nation,6969,7.5,200,10.58,42,10.12,646,9.82,448,8.96,8305,7.78
NT,SPP,Sustainable Australia Party - Universal Basic Income,4395,4.73,140,7.4,30,7.23,245,3.72,100,2,4910,4.6
NT,GRN,Australian Greens,9986,10.75,199,10.52,49,11.81,1006,15.29,580,11.6,11820,11.07
NT,UNAM,Unendorsed/Ungrouped Amalgamated,1018,1.1,10,0.53,2,0.48,70,1.06,40,0.8,1140,1.07
