StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,DeclarationPrePollVotes,DeclarationPrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
NSW,ALP,Labor,1578222,37.77,51737,35.25,2340,37.31,54511,36.97,189903,37.38,1876713,37.63
NSW,LPNP,Liberal & Nationals,1219071,29.18,32438,22.1,1402,22.36,39275,26.64,175754,34.59,1467940,29.44
NSW,GRN,The Greens,470318,11.26,22274,15.18,954,15.21,20507,13.91,43557,8.57,557610,11.18
NSW,HMP,Legalise Cannabis Party,148799,3.56,9227,6.29,295,4.7,5344,3.62,10615,2.09,174280,3.49
NSW,CYA,Trumpet of Patriots,101474,2.43,4458,3.04,164,2.62,3607,2.45,9967,1.96,119670,2.4
NSW,AJP,Animal Justice Party,48557,1.16,2223,1.51,97,1.55,1830,1.24,7322,1.44,60029,1.2
NSW,AV,Australia's Voice,31011,0.74,1629,1.11,64,1.02,1210,0.82,2878,0.57,36792,0.74
NSW,AUC,Australian Christians,49214,1.18,2309,1.57,100,1.59,1766,1.2,5757,1.13,59146,1.19
NSW,CEC,Citizens Party,8987,0.22,352,0.24,12,0.19,324,0.22,980,0.19,10655,0.21
NSW,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,13545,0.32,646,0.44,31,0.49,588,0.4,1722,0.34,16532,0.33
NSW,FFPA,Family First,69297,1.66,3059,2.08,128,2.04,2287,1.55,5789,1.14,80560,1.62
NSW,IAP,Indigenous - Aboriginal Party of Australia,27262,0.65,1693,1.15,65,1.04,1209,0.82,2115,0.42,32344,0.65
NSW,JLN,Jacqui Lambie Network,41989,1,909,0.62,60,0.96,1528,1.04,8411,1.66,52897,1.06
NSW,PFHL,Libertarian / HEART / Gerard Rennick People First,78849,1.89,3037,2.07,136,2.17,2782,1.89,8088,1.59,92892,1.86
NSW,ON,Pauline Hanson's One Nation,253862,6.08,9045,6.16,347,5.53,8986,6.09,30198,5.94,302438,6.06
NSW,SAL,Socialist Alliance,10354,0.25,490,0.33,19,0.3,522,0.35,1139,0.22,12524,0.25
NSW,SPP,Sustainable Australia Party - Universal Basic Income,13195,0.32,617,0.42,22,0.35,566,0.38,1773,0.35,16173,0.32
NSW,UNAM,Unendorsed/Ungrouped Amalgamated,14266,0.34,632,0.43,35,0.56,602,0.41,2102,0.41,17637,0.35
VIC,ALP,Australian Labor Party,1083047,34.87,46228,31.49,1870,34.96,47774,32.28,243445,35,1422364,34.68
VIC,LPNP,Liberal/The Nationals,961202,30.95,35753,24.35,1270,23.74,43541,29.42,246590,35.45,1288356,31.41
VIC,GRN,The Greens,396246,12.76,25844,17.6,852,15.93,22920,15.49,64973,9.34,510835,12.45
VIC,AV,Australia's Voice,31383,1.01,1874,1.28,81,1.51,1140,0.77,5341,0.77,39819,0.97
VIC,HMP,Legalise Cannabis Party,114483,3.69,8791,5.99,261,4.88,5801,3.92,19403,2.79,148739,3.63
VIC,LTP,Libertarian,18753,0.6,991,0.68,47,0.88,981,0.66,2845,0.41,23617,0.58
VIC,CYA,Trumpet of Patriots,76888,2.48,4443,3.03,122,2.28,3969,2.68,18130,2.61,103552,2.52
VIC,AJP,Animal Justice Party,45857,1.48,2754,1.88,97,1.81,2287,1.55,13560,1.95,64555,1.57
VIC,AUD,Australian Democrats,12826,0.41,531,0.36,23,0.43,599,0.4,3037,0.44,17016,0.41
VIC,CEC,Citizens Party,7746,0.25,307,0.21,22,0.41,334,0.23,1401,0.2,9810,0.24
VIC,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,7690,0.25,559,0.38,21,0.39,447,0.3,1987,0.29,10704,0.26
VIC,FFPA,Family First,57515,1.85,2864,1.95,122,2.28,2404,1.62,11704,1.68,74609,1.82
VIC,GRHE,Gerard Rennick People First - Heart,33282,1.07,1755,1.2,61,1.14,1820,1.23,7162,1.03,44080,1.07
VIC,IAP,Indigenous - Aboriginal Party of Australia,20293,0.65,1399,0.95,50,0.93,1198,0.81,3573,0.51,26513,0.65
VIC,ON,Pauline Hanson's One Nation,135731,4.37,6225,4.24,212,3.96,6994,4.73,33066,4.75,182228,4.44
VIC,ASP,"Shooters, Fishers and Farmers Party",37505,1.21,2237,1.52,62,1.16,2528,1.71,8650,1.24,50982,1.24
VIC,SPP,Sustainable Australia Party - Universal Basic Income,7735,0.25,470,0.32,13,0.24,436,0.29,2109,0.3,10763,0.26
VIC,VNS,Victorian Socialists,50658,1.63,3357,2.29,145,2.71,2443,1.65,6490,0.93,63093,1.54
VIC,UNAM,Unendorsed/Ungrouped Amalgamated,7183,0.23,420,0.29,18,0.34,377,0.25,2129,0.31,10127,0.25
QLD,ALP,Australian Labor Party,758787,30.74,28923,27.78,4346,27.64,35100,28.19,155655,30.4,982811,30.48
QLD,LNP,LNP,747010,30.27,23151,22.24,2927,18.62,35096,28.19,189220,36.96,997404,30.93
QLD,ON,Pauline Hanson's One Nation,173519,7.03,7483,7.19,1208,7.68,10240,8.22,37296,7.28,229746,7.13
QLD,GRN,The Greens,261330,10.59,15612,14.99,2168,13.79,15946,12.81,42690,8.34,337746,10.47
QLD,AV,Australia's Voice,19058,0.77,1165,1.12,234,1.49,1071,0.86,2398,0.47,23926,0.74
QLD,CYA,Trumpet of Patriots,91878,3.72,5094,4.89,886,5.64,5139,4.13,14703,2.87,117700,3.65
QLD,AJP,Animal Justice Party,22888,0.93,1434,1.38,217,1.38,1268,1.02,6167,1.2,31974,0.99
QLD,AUD,Australian Democrats,10954,0.44,455,0.44,66,0.42,560,0.45,2165,0.42,14200,0.44
QLD,CEC,Citizens Party,4950,0.2,258,0.25,40,0.25,271,0.22,747,0.15,6266,0.19
QLD,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,7225,0.29,443,0.43,84,0.53,501,0.4,1461,0.29,9714,0.3
QLD,FFPA,Family First,45547,1.85,2454,2.36,422,2.68,2196,1.76,7386,1.44,58005,1.8
QLD,GRKA,Gerard Rennick People First|Katter's Australian Party,122831,4.98,4823,4.63,705,4.48,5417,4.35,17534,3.42,151310,4.69
QLD,GAHE,Great Australian Party & HEART Party,4598,0.19,278,0.27,50,0.32,251,0.2,750,0.15,5927,0.18
QLD,IAP,Indigenous - Aboriginal Party of Australia,34395,1.39,2416,2.32,507,3.22,1988,1.6,3345,0.65,42651,1.32
QLD,JLN,Jacqui Lambie Network,38540,1.56,1263,1.21,176,1.12,2452,1.97,12186,2.38,54617,1.69
QLD,HMP,Legalise Cannabis Party,88224,3.57,6588,6.33,1237,7.87,4647,3.73,12491,2.44,113187,3.51
QLD,LTP,Libertarian,11328,0.46,714,0.69,117,0.74,922,0.74,1637,0.32,14718,0.46
QLD,SAL,Socialist Alliance,17080,0.69,1110,1.07,263,1.67,960,0.77,1902,0.37,21315,0.66
QLD,SPP,Sustainable Australia Party - Universal Basic Income,5591,0.23,324,0.31,60,0.38,345,0.28,1424,0.28,7744,0.24
QLD,UNAM,Unendorsed/Ungrouped Amalgamated,2365,0.1,129,0.12,10,0.06,143,0.11,828,0.16,3475,0.11
WA,ALP,Australian Labor Party,473118,36.57,21639,29.8,727,32.48,21085,32.9,70123,37.01,586692,36.17
WA,LP,Liberal,342429,26.47,15071,20.75,465,20.78,16821,26.25,56821,29.99,431607,26.61
WA,NP,The Nationals,44892,3.47,2266,3.12,45,2.01,2504,3.91,8336,4.4,58043,3.58
WA,GRN,The Greens (WA),166023,12.83,13364,18.4,377,16.85,9568,14.93,18995,10.03,208327,12.84
WA,CYA,Trumpet of Patriots,21700,1.68,1600,2.2,46,2.06,1212,1.89,2625,1.39,27183,1.68
WA,AJP,Animal Justice Party,13437,1.04,1065,1.47,38,1.7,687,1.07,2792,1.47,18019,1.11
WA,AV,Australia's Voice,9125,0.71,721,0.99,32,1.43,351,0.55,910,0.48,11139,0.69
WA,AUC,Australian Christians,35450,2.74,2199,3.03,79,3.53,1545,2.41,4100,2.16,43373,2.67
WA,AUD,Australian Democrats,5200,0.4,266,0.37,11,0.49,259,0.4,782,0.41,6518,0.4
WA,CEC,Citizens Party,3838,0.3,289,0.4,6,0.27,186,0.29,460,0.24,4779,0.29
WA,SOPA,FUSION,2724,0.21,205,0.28,6,0.27,163,0.25,517,0.27,3615,0.22
WA,GRPF,Gerard Rennick People First,19135,1.48,1259,1.73,50,2.23,1034,1.61,2565,1.35,24043,1.48
WA,HMP,Legalise Cannabis Party,51784,4,5315,7.32,130,5.81,2664,4.16,5447,2.87,65340,4.03
WA,LTP,Libertarian,8355,0.65,618,0.85,15,0.67,437,0.68,863,0.46,10288,0.63
WA,ON,One Nation,74426,5.75,4916,6.77,135,6.03,4350,6.79,11403,6.02,95230,5.87
WA,SAL,Socialist Alliance,3175,0.25,217,0.3,15,0.67,174,0.27,393,0.21,3974,0.25
WA,SPP,Sustainable Australia Party,5414,0.42,437,0.6,16,0.71,293,0.46,944,0.5,7104,0.44
WA,GAP,GAP,12258,0.95,1091,1.5,40,1.79,687,1.07,1173,0.62,15249,0.94
WA,UNAM,Unendorsed/Ungrouped Amalgamated,1124,0.09,77,0.11,5,0.22,60,0.09,227,0.12,1493,0.09
SA,ALP,Australian Labor Party,353154,38.24,15284,34.47,3174,35.52,12043,34.68,59340,38.88,442995,38.06
SA,LP,Liberal,251895,27.28,9730,21.94,1724,19.29,9461,27.24,48122,31.53,320932,27.57
SA,NP,National Party,4512,0.49,183,0.41,46,0.51,237,0.68,717,0.47,5695,0.49
SA,GRN,The Greens,120952,13.1,8084,18.23,1533,17.15,5172,14.89,14407,9.44,150148,12.9
SA,CYA,Trumpet of Patriots,26092,2.83,1671,3.77,327,3.66,1089,3.14,3915,2.56,33094,2.84
SA,AJP,Animal Justice Party,11939,1.29,818,1.84,167,1.87,468,1.35,2426,1.59,15818,1.36
SA,AV,Australia's Voice,6735,0.73,397,0.9,116,1.3,255,0.73,538,0.35,8041,0.69
SA,CEC,Citizens Party,1259,0.14,77,0.17,20,0.22,44,0.13,170,0.11,1570,0.13
SA,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,4372,0.47,252,0.57,66,0.74,185,0.53,567,0.37,5442,0.47
SA,FFPA,Family First,18992,2.06,1079,2.43,223,2.5,711,2.05,2549,1.67,23554,2.02
SA,GRPF,Gerard Rennick People First,10673,1.16,627,1.41,130,1.45,506,1.46,1526,1,13462,1.16
